Country_Code,Country,WEO Subject Code,Subject Descriptor,Units,Year,Value,Country_Name,Region,Income_Group
TTO,Trinidad and Tobago,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,7046.379,Trinidad and Tobago,Latin America & Caribbean,High income
TUN,Tunisia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,2365.245,Tunisia,Middle East & North Africa,Lower middle income
TUR,Türkiye,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,3082.899,Türkiye,Europe & Central Asia,Upper middle income
TKM,Turkmenistan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,2502.842,Turkmenistan,Europe & Central Asia,Upper middle income
UGA,Uganda,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,347.812,Uganda,Sub-Saharan Africa,Low income
UKR,Ukraine,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,784.864,Ukraine,Europe & Central Asia,Upper middle income
ARE,United Arab Emirates,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,32621.364,United Arab Emirates,Middle East & North Africa,High income
GBR,United Kingdom,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,27916.906,United Kingdom,Europe & Central Asia,High income
USA,United States,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,37101.453,United States,North America,High income
URY,Uruguay,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,6803.597,Uruguay,Latin America & Caribbean,High income
UZB,Uzbekistan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,587.633,Uzbekistan,Europe & Central Asia,Lower middle income
VUT,Vanuatu,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,1317.091,Vanuatu,East Asia & Pacific,Lower middle income
VEN,Venezuela,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,4963.916,"Venezuela, RB",Latin America & Caribbean,
VNM,Vietnam,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,513.197,Vietnam,East Asia & Pacific,Lower middle income
WBG,West Bank and Gaza,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,1275.685,,,
YEM,Yemen,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,521.697,"Yemen, Rep.",Middle East & North Africa,Low income
ZMB,Zambia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,379.713,Zambia,Sub-Saharan Africa,Lower middle income
ZWE,Zimbabwe,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,964.08,Zimbabwe,Sub-Saharan Africa,Lower middle income
AFG,Afghanistan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,233.433,Afghanistan,South Asia,Low income
ALB,Albania,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1425.125,Albania,Europe & Central Asia,Upper middle income
DZA,Algeria,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1958.238,Algeria,Middle East & North Africa,Upper middle income
AGO,Angola,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,872.658,Angola,Sub-Saharan Africa,Lower middle income
ATG,Antigua and Barbuda,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,10485.776,Antigua and Barbuda,Latin America & Caribbean,High income
ARG,Argentina,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,2997.621,Argentina,Latin America & Caribbean,Upper middle income
ARM,Armenia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,779.122,Armenia,Europe & Central Asia,Upper middle income
ABW,Aruba,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,21307.261,Aruba,Latin America & Caribbean,High income
AUS,Australia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,21702.46,Australia,East Asia & Pacific,High income
AUT,Austria,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,26508.32,Austria,Europe & Central Asia,High income
AZE,Azerbaijan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,760.812,Azerbaijan,Europe & Central Asia,Upper middle income
BHS,The Bahamas,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,28357.927,"Bahamas, The",Latin America & Caribbean,High income
BHR,Bahrain,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,13501.551,Bahrain,Middle East & North Africa,High income
BGD,Bangladesh,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,490.919,Bangladesh,South Asia,Lower middle income
BRB,Barbados,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,11442.562,Barbados,Latin America & Caribbean,High income
BLR,Belarus,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1529.813,Belarus,Europe & Central Asia,Upper middle income
BEL,Belgium,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,25044.331,Belgium,Europe & Central Asia,High income
BLZ,Belize,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,4564.499,Belize,Latin America & Caribbean,Upper middle income
BEN,Benin,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,563.98,Benin,Sub-Saharan Africa,Lower middle income
BTN,Bhutan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,873.97,Bhutan,South Asia,Lower middle income
BOL,Bolivia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,904.851,Bolivia,Latin America & Caribbean,Lower middle income
BIH,Bosnia and Herzegovina,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1785.289,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income
BWA,Botswana,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,3005.538,Botswana,Sub-Saharan Africa,Upper middle income
BRA,Brazil,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,2926.341,Brazil,Latin America & Caribbean,Upper middle income
BRN,Brunei Darussalam,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,19037.814,Brunei Darussalam,East Asia & Pacific,High income
BGR,Bulgaria,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,2090.683,Bulgaria,Europe & Central Asia,High income
BFA,Burkina Faso,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,286.551,Burkina Faso,Sub-Saharan Africa,Low income
BDI,Burundi,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,116.392,Burundi,Sub-Saharan Africa,Low income
CPV,Cabo Verde,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1501.545,Cabo Verde,Sub-Saharan Africa,Lower middle income
KHM,Cambodia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,368.731,Cambodia,East Asia & Pacific,Lower middle income
CMR,Cameroon,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,756.14,Cameroon,Sub-Saharan Africa,Lower middle income
CAN,Canada,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,24279.8,Canada,North America,High income
CAF,Central African Republic,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,260.865,Central African Republic,Sub-Saharan Africa,Low income
TCD,Chad,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,341.005,Chad,Sub-Saharan Africa,Low income
CHL,Chile,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,4479.771,Chile,Latin America & Caribbean,High income
CHN,China,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1141.14,China,East Asia & Pacific,Upper middle income
COL,Colombia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,2424.349,Colombia,Latin America & Caribbean,Upper middle income
COM,Comoros,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,757.399,Comoros,Sub-Saharan Africa,Lower middle income
COD,Democratic Republic of the Congo,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,171.076,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income
COG,Republic of Congo,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,999.604,"Congo, Rep.",Sub-Saharan Africa,Lower middle income
CRI,Costa Rica,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,4122.829,Costa Rica,Latin America & Caribbean,Upper middle income
CIV,Côte d'Ivoire,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,996.887,Côte d’Ivoire,Sub-Saharan Africa,Lower middle income
HRV,Croatia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,6215.467,Croatia,Europe & Central Asia,High income
CYP,Cyprus,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,16188.531,Cyprus,Europe & Central Asia,High income
CZE,Czech Republic,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,8056.318,Czechia,Europe & Central Asia,High income
DNK,Denmark,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,33275.556,Denmark,Europe & Central Asia,High income
DJI,Djibouti,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1121.167,Djibouti,Middle East & North Africa,Lower middle income
DMA,Dominica,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,4680.264,Dominica,Latin America & Caribbean,Upper middle income
DOM,Dominican Republic,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,3158.393,Dominican Republic,Latin America & Caribbean,Upper middle income
ECU,Ecuador,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,2066.227,Ecuador,Latin America & Caribbean,Upper middle income
EGY,Egypt,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1355.278,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income
SLV,El Salvador,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,2106.732,El Salvador,Latin America & Caribbean,Upper middle income
GNQ,Equatorial Guinea,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,3107.854,Equatorial Guinea,Sub-Saharan Africa,Upper middle income
ERI,Eritrea,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,227.498,Eritrea,Sub-Saharan Africa,Low income
EST,Estonia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,5358.418,Estonia,Europe & Central Asia,High income
SWZ,Eswatini,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1473.717,Eswatini,Sub-Saharan Africa,Lower middle income
ETH,Ethiopia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,123.874,Ethiopia,Sub-Saharan Africa,Low income
FJI,Fiji,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,2463.316,Fiji,East Asia & Pacific,Upper middle income
FIN,Finland,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,27008.262,Finland,Europe & Central Asia,High income
FRA,France,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,25137.402,France,Europe & Central Asia,High income
GAB,Gabon,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,4210.284,Gabon,Sub-Saharan Africa,Upper middle income
GMB,The Gambia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,631.566,"Gambia, The",Sub-Saharan Africa,Low income
GEO,Georgia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,875.188,Georgia,Europe & Central Asia,Upper middle income
DEU,Germany,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,25460.334,Germany,Europe & Central Asia,High income
GHA,Ghana,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,714.42,Ghana,Sub-Saharan Africa,Lower middle income
GRC,Greece,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,14185.446,Greece,Europe & Central Asia,High income
GRD,Grenada,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,5213.797,Grenada,Latin America & Caribbean,Upper middle income
GTM,Guatemala,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1795.772,Guatemala,Latin America & Caribbean,Upper middle income
GIN,Guinea,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,444.663,Guinea,Sub-Saharan Africa,Lower middle income
GNB,Guinea-Bissau,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,374.5,Guinea-Bissau,Sub-Saharan Africa,Low income
GUY,Guyana,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,2092.961,Guyana,Latin America & Caribbean,High income
HTI,Haiti,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,684.333,Haiti,Latin America & Caribbean,Lower middle income
HND,Honduras,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1134.097,Honduras,Latin America & Caribbean,Lower middle income
HKG,Hong Kong SAR,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,24731.081,"Hong Kong SAR, China",East Asia & Pacific,High income
HUN,Hungary,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,6644.61,Hungary,Europe & Central Asia,High income
ISL,Iceland,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,32516.441,Iceland,Europe & Central Asia,High income
IND,India,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,468.845,India,South Asia,Lower middle income
IDN,Indonesia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1002.907,Indonesia,East Asia & Pacific,Upper middle income
IRN,Islamic Republic of Iran,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,2020.838,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income
IRL,Ireland,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,32481.584,Ireland,Europe & Central Asia,High income
ISR,Israel,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,19044.144,Israel,Middle East & North Africa,High income
ITA,Italy,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,22386.262,Italy,Europe & Central Asia,High income
JAM,Jamaica,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,3709.572,Jamaica,Latin America & Caribbean,Upper middle income
JPN,Japan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,32832.296,Japan,East Asia & Pacific,High income
JOR,Jordan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1890.254,Jordan,Middle East & North Africa,Lower middle income
KAZ,Kazakhstan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1658.032,Kazakhstan,Europe & Central Asia,Upper middle income
KEN,Kenya,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,611.901,Kenya,Sub-Saharan Africa,Lower middle income
KIR,Kiribati,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,853.916,Kiribati,East Asia & Pacific,Lower middle income
KOR,Korea,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,13159.675,"Korea, Rep.",East Asia & Pacific,High income
UVK,Kosovo,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1807.197,,,
KWT,Kuwait,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,15756.242,Kuwait,Middle East & North Africa,High income
KGZ,Kyrgyz Republic,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,323.343,Kyrgyz Republic,Europe & Central Asia,Lower middle income
LAO,Lao P.D.R.,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,328.928,Lao PDR,East Asia & Pacific,Lower middle income
LVA,Latvia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,4120.691,Latvia,Europe & Central Asia,High income
LBN,Lebanon,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,4504.149,Lebanon,Middle East & North Africa,Lower middle income
LSO,Lesotho,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,457.662,Lesotho,Sub-Saharan Africa,Lower middle income
LBR,Liberia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,311.768,Liberia,Sub-Saharan Africa,Low income
LBY,Libya,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,3956.483,Libya,Middle East & North Africa,Upper middle income
LTU,Lithuania,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,4140.734,Lithuania,Europe & Central Asia,High income
LUX,Luxembourg,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,53227.765,Luxembourg,Europe & Central Asia,High income
MAC,Macao SAR,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,16733.977,"Macao SAR, China",East Asia & Pacific,High income
MDG,Madagascar,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,334.838,Madagascar,Sub-Saharan Africa,Low income
MWI,Malawi,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,384.137,Malawi,Sub-Saharan Africa,Low income
MYS,Malaysia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,4441.824,Malaysia,East Asia & Pacific,Upper middle income
MDV,Maldives,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,2952.215,Maldives,South Asia,Upper middle income
MLI,Mali,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,326.736,Mali,Sub-Saharan Africa,Low income
MLT,Malta,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,11346.456,Malta,Middle East & North Africa,High income
MHL,Marshall Islands,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,2655.592,Marshall Islands,East Asia & Pacific,Upper middle income
MRT,Mauritania,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,634.588,Mauritania,Sub-Saharan Africa,Lower middle income
MUS,Mauritius,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,4252.93,Mauritius,Sub-Saharan Africa,Upper middle income
MEX,Mexico,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,7934.694,Mexico,Latin America & Caribbean,Upper middle income
FSM,Micronesia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,2233.027,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income
MDA,Moldova,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,569.109,Moldova,Europe & Central Asia,Upper middle income
MNG,Mongolia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,566.403,Mongolia,East Asia & Pacific,Upper middle income
MNE,Montenegro,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,2080.95,Montenegro,Europe & Central Asia,Upper middle income
MAR,Morocco,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1573.475,Morocco,Middle East & North Africa,Lower middle income
MOZ,Mozambique,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,317.135,Mozambique,Sub-Saharan Africa,Low income
MMR,Myanmar,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,139.436,Myanmar,East Asia & Pacific,Lower middle income
NAM,Namibia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1825.849,Namibia,Sub-Saharan Africa,Upper middle income
NPL,Nepal,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,269.082,Nepal,South Asia,Lower middle income
NLD,Netherlands,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,29401.976,Netherlands,Europe & Central Asia,High income
NZL,New Zealand,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,15706.697,New Zealand,East Asia & Pacific,High income
NIC,Nicaragua,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1011.904,Nicaragua,Latin America & Caribbean,Lower middle income
NER,Niger,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,227.424,Niger,Sub-Saharan Africa,Low income
NGA,Nigeria,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,730.836,Nigeria,Sub-Saharan Africa,Lower middle income
MKD,North Macedonia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1974.061,North Macedonia,Europe & Central Asia,Upper middle income
NOR,Norway,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,43083.871,Norway,Europe & Central Asia,High income
OMN,Oman,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,9285.343,Oman,Middle East & North Africa,High income
PAK,Pakistan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,689.971,Pakistan,South Asia,Lower middle income
PLW,Palau,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,8404.127,Palau,East Asia & Pacific,High income
PAN,Panama,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,4324.661,Panama,Latin America & Caribbean,High income
PNG,Papua New Guinea,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,814.701,Papua New Guinea,East Asia & Pacific,Lower middle income
PRY,Paraguay,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1312.083,Paraguay,Latin America & Caribbean,Upper middle income
PER,Peru,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1998.363,Peru,Latin America & Caribbean,Upper middle income
PHL,Philippines,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1050.297,Philippines,East Asia & Pacific,Lower middle income
POL,Poland,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,5205.517,Poland,Europe & Central Asia,High income
PRT,Portugal,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,12927.584,Portugal,Europe & Central Asia,High income
PRI,Puerto Rico,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,18972.77,Puerto Rico,Latin America & Caribbean,High income
QAT,Qatar,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,30701.131,Qatar,Middle East & North Africa,High income
ROU,Romania,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,2108.445,Romania,Europe & Central Asia,High income
RUS,Russia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,2546.779,Russian Federation,Europe & Central Asia,High income
RWA,Rwanda,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,242.338,Rwanda,Sub-Saharan Africa,Low income
WSM,Samoa,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1638.535,Samoa,East Asia & Pacific,Lower middle income
STP,São Tomé and Príncipe,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,552.891,São Tomé and Príncipe,Sub-Saharan Africa,Lower middle income
SAU,Saudi Arabia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,9937.388,Saudi Arabia,Middle East & North Africa,High income
SEN,Senegal,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,680.83,Senegal,Sub-Saharan Africa,Lower middle income
SRB,Serbia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,2291.259,Serbia,Europe & Central Asia,Upper middle income
SYC,Seychelles,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,8431.923,Seychelles,Sub-Saharan Africa,High income
SLE,Sierra Leone,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,251.704,Sierra Leone,Sub-Saharan Africa,Low income
SGP,Singapore,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,22159.833,Singapore,East Asia & Pacific,High income
SVK,Slovak Republic,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,4626.832,Slovak Republic,Europe & Central Asia,High income
SVN,Slovenia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,11804.818,Slovenia,Europe & Central Asia,High income
SLB,Solomon Islands,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,795.544,Solomon Islands,East Asia & Pacific,Lower middle income
ZAF,South Africa,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,2791.18,South Africa,Sub-Saharan Africa,Upper middle income
ESP,Spain,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,17097.916,Spain,Europe & Central Asia,High income
LKA,Sri Lanka,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1061.683,Sri Lanka,South Asia,Lower middle income
KNA,St. Kitts and Nevis,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,10388.287,St. Kitts and Nevis,Latin America & Caribbean,High income
LCA,St. Lucia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,5558.316,St. Lucia,Latin America & Caribbean,Upper middle income
VCT,St. Vincent and the Grenadines,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,4518.089,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income
SDN,Sudan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,554.652,Sudan,Sub-Saharan Africa,Low income
SUR,Suriname,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,3078.446,Suriname,Latin America & Caribbean,Upper middle income
SWE,Sweden,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,29846.186,Sweden,Europe & Central Asia,High income
CHE,Switzerland,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,42656.086,Switzerland,Europe & Central Asia,High income
SYR,Syria,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1305.087,Syrian Arab Republic,Middle East & North Africa,Low income
TWN,Taiwan Province of China,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,13651.355,"Taiwan, China",East Asia & Pacific,High income
TJK,Tajikistan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,187.958,Tajikistan,Europe & Central Asia,Lower middle income
TZA,Tanzania,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,382.287,Tanzania,Sub-Saharan Africa,Lower middle income
THA,Thailand,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,2096.189,Thailand,East Asia & Pacific,Upper middle income
TLS,Timor-Leste,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,520.99,Timor-Leste,East Asia & Pacific,Lower middle income
TGO,Togo,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,435.683,Togo,Sub-Saharan Africa,Low income
TON,Tonga,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1828.634,Tonga,East Asia & Pacific,Upper middle income
TTO,Trinidad and Tobago,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,7162.514,Trinidad and Tobago,Latin America & Caribbean,High income
TUN,Tunisia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,2460.779,Tunisia,Middle East & North Africa,Lower middle income
TUR,Türkiye,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,3617.23,Türkiye,Europe & Central Asia,Upper middle income
TKM,Turkmenistan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,3107.479,Turkmenistan,Europe & Central Asia,Upper middle income
TUV,Tuvalu,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2002,1741.529,Tuvalu,East Asia & Pacific,Upper middle income
